"","StateCodes","State","Region","Division","Coast","Great.Lakes","TotalC","TotalP","TotalE","TotalPrice","TotalC_Changes","TotalP_Changes","TotalE_Changes","TotalPrice_Changes","BiomassC","CoalC","CoalP","CoalE","CoalPrice","ElecC","ElecE","ElecPrice","FossFuelC","GeoC","GeoP","HydroC","HydroP","NatGasC","NatGasE","NatGasPrice","LPGC","LPGE","LPGPrice","GDP","Population","Year"
"36","OK","Oklahoma",3,7,0,0,1579910,2576077,17066.4,17.16,0,0,0,0,39320,346047,17580,614.8,1.78,197370,4362.9,22.3,1571983,23,0,27403,2809,697351,3916.8,6.73,11435,244,21.41,151317.5,3759481,2010
"37","OR","Oregon",4,9,1,0,975067,393763,12716.1,19.2,0,0,0,0,59498,42556,0,72.7,1.71,157041,3478.4,22.15,628380,1114,0,297970,30542,242914,1677,7.09,5956,142.8,23.98,191393,3837083,2010
"38","PA","Pennsylvania",1,2,0,1,3752280,3064745,49095.9,19.74,0,0,0,0,132240,1310670,1485775,3607.2,2.75,508265,15222.4,30.29,3469617,2018,0,22753,2332,909263,7209.8,8.73,55261,1554.5,28.19,588275.75,12711077,2010
"39","RI","Rhode Island",1,1,1,0,195314,3399,3689.9,23.63,0,0,0,0,6691,0,0,0,0,26611,1097.7,41.25,184732,20,0,36,4,95710,840.2,8.92,1342,41.6,31.03,49328.75,1053078,2010
"40","SC","South Carolina",3,5,1,0,1643912,649978,18661.9,18.52,0,0,0,0,101716,404966,0,1500.1,3.7,281419,7003.9,24.89,1124533,624,0,23185,2376,225961,1547.6,6.96,11209,306.3,27.32,165237,4636290,2010
"41","SD","South Dakota",2,4,0,0,378514,225387,3877.3,17.21,0,0,0,0,63943,39061,0,77.8,1.99,38747,888.3,22.93,226232,1716,0,51110,5239,72926,441.1,6.63,7707,148.8,19.31,38043.75,816192,2010
"42","TN","Tennessee",3,6,0,0,2247273,505731,25580.6,18.67,0,0,0,0,91516,515464,45030,1419.1,2.75,353215,8851.1,25.3,1461432,205,0,79392,8138,263365,1997,8.13,14037,362.6,25.9,254343,6356628,2010
"43","TX","Texas",3,7,1,0,11687521,11412134,135014.3,17.36,0,0,0,0,179840,1568060,538258,2936.9,1.87,1223057,32698.3,27.69,10741110,2316,0,12310,1262,3689583,15761.4,5.18,1425319,24548.5,17.23,1251494,25245717,2010
"44","UT","Utah",4,8,0,0,756012,1073063,8387.3,16.89,0,0,0,0,7712,356148,445692,608.3,1.71,95686,1925.4,20.45,847682,3449,277,6785,696,229078,1184.8,6.25,4050,91.9,23.18,119037,2774346,2010
"45","VT","Vermont",1,1,0,0,153697,80143,2783.6,23.75,0,0,0,0,19041,0,0,0,0,19090,740.8,38.81,90299,28,0,13140,1347,8502,97.3,11.47,9018,247.9,27.49,26406.5,625792,2010
"46","VA","Virginia",3,5,1,0,2483360,1096973,29847.2,19.12,0,0,0,0,119506,346161,564326,1222.3,3.53,388307,9893.7,25.48,1535604,1569,0,14636,1500,385931,2996.1,8.11,21572,594.3,27.55,423505.75,8025376,2010
"47","WA","Washington",4,9,1,0,2031428,907957,22762.2,18.33,0,0,0,0,115340,94934,0,220.2,2.32,308376,5959.3,19.63,1115899,1013,0,666221,68288,294871,2484.4,8.97,15836,388.9,25.2,362113.5,6741911,2010
"48","WV","West Virginia",3,5,0,0,738821,3699729,7925.9,17.26,0,0,0,0,25598,848129,3346117,2256.3,2.66,109293,2360.2,21.89,1165405,31,0,13340,1367,121780,700.3,8.42,4636,126.5,27.3,66961,1854176,2010
"49","WI","Wisconsin",2,3,0,1,1791199,329441,21593.9,18.48,0,0,0,0,137892,458442,0,1026.9,2.24,234583,6669.2,28.76,1361165,592,0,20603,2112,376627,3061.9,8.4,32179,647.4,20.22,253801,5689268,2010
"50","WY","Wyoming",4,8,0,0,540122,10536570,4524.9,15.16,0,0,0,0,3330,484239,7658286,636.2,1.31,58391,1035,18.27,805265,598,0,9989,1024,154759,371.8,5.92,5226,115,22.17,39093.25,564358,2010
"51","DC","District of Columbia",3,5,0,0,190529,95,2497.5,25.76,0,0,0,0,1027,71,0,0.2,2.63,40524,1586,39.14,58155,6,0,0,0,33717,415.8,12.41,21,0.6,28.26,104044.75,605210,2010
"52","AL","Alabama",3,6,1,0,1905207,1400108,24447.7,20.1,98.63760289,98.626034,113.0242019,112.7946128,179611,651032,468671,2009.7,3.09,303652,7846.1,27.08,1783839,135,0,86313,8884,609288,3122.6,5.72,10343,273.8,26.48,181923,4801695,2011
"53","AK","Alaska",4,9,1,0,653637,1641980,8050.4,24.91,100.0636844,94.46400803,124.3516273,123.7456533,4247,15481,33524,59.6,3.85,21562,1004.6,47.13,635981,214,0,13066,1345,339819,545.1,6.61,1247,36.9,29.78,59318.25,722572,2011
"54","AZ","Arizona",4,8,0,0,1424944,617956,22628.6,25.62,102.9932831,106.3702775,116.8066403,115.1460674,28565,459909,174841,917.2,1.99,255708,7278.6,28.46,1253992,345,0,89135,9174,293134,2084.4,7.45,8759,279.9,31.96,255620.5,2938430,2011
"55","AR","Arkansas",3,7,0,0,1122544,1391190,14178.8,19.67,100.170618,111.4995564,115.5622932,116.3905325,97160,306119,2985,592.2,1.93,163530,3446.6,22.02,932878,750,0,28738,2958,288906,1902.9,7.36,8992,240.3,26.72,109378.25,6472867,2011
"56","CA","California",4,9,1,0,7777115,2634789,135097.7,24.35,100.2124312,104.0511728,115.3793663,116.1182642,282581,55264,0,173.1,3.13,893745,33919.1,38.35,5550201,124092,12552,413488,42557,2196252,14353.7,7.08,62639,1921,31.26,2031347.75,37701901,2011
"57","CO","Colorado",4,8,0,0,1470445,2750097,19269.7,21.28,97.15225229,107.3644747,114.0995352,122.2988506,30883,368871,586847,637,1.73,182400,4963.2,27.61,1304903,741,0,20235,2083,481614,2334.4,6.79,16036,412.2,25.76,266796.25,5119661,2011
"58","CT","Connecticut",1,1,1,0,739130,195792,15498.1,28.13,96.62208976,96.36002126,108.7967708,109.7970336,33958,6081,0,22.4,3.68,101879,4881.5,47.91,557282,19,0,5513,567,236016,1788.9,7.79,10092,323.1,32.01,232270.75,3590537,2011
"59","DE","Delaware",3,5,1,0,272568,3976,3987.7,25.32,108.9348233,111.2167832,111.2608465,107.7446809,6781,17881,0,61,3.41,39181,1309.2,33.73,201518,401,0,0,0,81710,708.3,8.92,4730,143.4,30.31,59763.25,907829,2011
"60","FL","Florida",3,5,1,0,4141711,500907,67345.1,25.41,96.70855094,98.178365,112.569034,115.2380952,245557,552730,0,1959.7,3.55,768009,23880.2,31.09,3357837,9799,0,1769,182,1235953,7700.7,6.33,19205,605.1,31.51,735244.25,19107900,2011
"61","GA","Georgia",3,5,1,0,2982837,549483,42315.7,21.49,96.216079,97.80827916,113.6547253,117.7534247,210583,634756,0,2400.3,3.78,465298,13108.5,28.17,2142535,291,0,26282,2705,532310,4165.2,7.98,18607,503.2,27.04,418916.5,9813201,2011
"62","HI","Hawaii",4,9,1,0,287113,18378,7668.6,38.34,103.2609712,113.1301939,130.979709,125.9940848,10550,16080,0,29.4,1.83,33989,3090.5,92.78,265505,2183,224,905,93,2744,116.7,43.43,3397,116.1,34.23,69689.25,1378251,2011
"63","ID","Idaho",4,8,0,0,516978,176717,6621.1,19.65,100.1662404,135.257784,116.5030265,114.6441074,31192,7846,0,19.9,2.53,79403,1498.2,18.87,247718,2164,63,130241,13405,83947,589.7,7.5,5715,152.3,26.65,57081,1583780,2011
"64","IL","Illinois",2,3,0,1,3937616,2189423,50877.8,19.53,99.5581644,104.710037,112.2468655,112.3059229,133873,1052224,864228,2093,1.99,487526,12722.1,26.38,3212010,1905,0,1365,140,997722,7471.4,7.87,66874,1615.6,24.45,679269,12858725,2011
"65","IN","Indiana",2,3,0,1,2847188,1062319,32483.4,17.72,99.43395884,107.5692003,118.2263536,119.0060443,105527,1333442,840986,4157.2,3.12,361051,8373.1,23.55,2712351,4499,0,3972,409,638237,4220.2,6.99,25085,590,23.61,291889.75,6516560,2011
"66","IA","Iowa",2,4,0,0,1498973,689146,17308.3,18.18,99.94959089,102.3835912,115.6407635,115.9438776,231401,463138,0,750.2,1.62,155774,3451.3,22.16,1155743,1359,0,8991,925,309672,2052.8,6.87,64049,1559.8,24.35,149402,3064904,2011
"67","KS","Kansas",2,4,0,0,1104843,781704,13565.2,20.64,98.85579409,96.17066299,114.5090492,116.6101695,41131,346521,840,608.8,1.76,139074,3597.9,26.11,970721,1005,0,143,15,285318,1631.6,6.89,11583,276.4,23.94,137654.25,2869965,2011
"68","KY","Kentucky",3,6,0,0,1903208,2840858,23231.2,20.57,96.19317806,102.1352769,116.2274799,119.8717949,51474,1010623,2623804,2466.4,2.44,305505,6339,21.1,1846216,2700,0,28850,2969,229056,1421.7,7.05,32032,810,25.61,172255.25,4370038,2011
"69","LA","Louisiana",3,7,1,0,4388867,3972994,53391.3,17.96,100.0708885,125.3017117,118.6486517,119.2563081,113514,269993,52440,720.4,2.67,294691,6425.6,22.76,4015581,1891,0,10144,1044,1536147,5158.3,4.59,516784,10736.4,20.79,236958.25,4575972,2011
"70","ME","Maine",1,1,1,0,413893,154764,7425.8,21.93,99.71763459,101.8586284,117.1150995,116.8353756,113899,1542,0,6.5,4.2,38949,1435.8,36.86,268118,68,0,38660,3979,75061,569.2,7.84,10996,332,30.19,51480.75,1327930,2011
"71","MD","Maryland",3,5,1,0,1410012,272882,23062.5,25.51,96.27921554,108.7994195,107.7621453,111.73894,49917,241190,65871,881.3,3.65,217002,7590.5,34.98,900614,532,0,24748,2547,199223,1935.3,10.03,12743,425.4,33.38,323942.5,5843833,2011
"72","MA","Massachusetts",1,1,1,0,1397164,103058,27485.1,26.1,98.66148254,94.66326193,111.9191302,111.8731247,59074,42963,0,160,3.72,189605,7842.4,41.36,1073354,962,0,11161,1149,464018,4159.7,9.06,10672,369.4,34.62,413672.75,6612270,2011
"73","MI","Michigan",2,3,0,1,2785212,680857,39387.8,20.84,101.1503754,108.6521905,113.865545,112.8316188,140472,691150,0,2074.4,3,358443,10846.5,30.57,2253650,5088,0,13188,1357,787337,6520.7,8.76,40051,956.2,23.91,401359.75,9875736,2011
"74","MN","Minnesota",2,4,0,1,1850749,425422,24297.6,19.8,99.6582835,99.15163776,115.997823,116.1971831,155130,315604,0,635.5,2.01,233834,5876.3,25.43,1329595,1003,0,7250,746,424978,2791.7,7.01,29366,703.8,24.08,284490.75,5348036,2011
"75","MS","Mississippi",3,6,1,0,1155456,441341,15188.7,20.82,98.11789881,98.35707902,114.0780965,116.3128492,71184,107546,28822,416.7,3.88,168340,4202.5,26,944952,1074,0,0,0,437873,2012.9,5.16,10531,290.2,27.56,96840.25,2978464,2011
"76","MO","Missouri",2,4,0,0,1856590,197714,26567.3,22.48,97.1782256,99.70599656,115.7016623,119.3205945,66131,825650,10075,1436.3,1.74,287478,7008.5,24.38,1719891,329,0,11515,1185,275308,2584.6,9.64,25961,611.8,23.57,256996,6010544,2011
"77","MT","Montana",4,8,0,0,402355,1104165,5702.1,21.73,100.3742001,96.16871953,120.1960371,119.0032859,7601,165687,746650,247.4,1.49,47045,1124.5,24.26,422616,403,0,122382,12596,79470,549.1,8.12,9531,239.9,25.21,40841.25,997661,2011
"78","NE","Nebraska",2,4,0,0,862675,390808,9995.9,19.3,100.2246901,97.74549675,114.5714417,115.7074341,116589,285384,0,437.9,1.53,101255,2338.2,23.09,690557,1195,0,15713,1617,173666,1073.9,6.55,10877,259.5,23.86,99050.25,1842232,2011
"79","NV","Nevada",4,8,0,0,632655,53807,9794.5,23.45,97.99428132,103.7823554,105.9265668,110.5089538,9375,62701,0,163.1,2.6,115723,2992.8,26.43,529486,22419,2146,21284,2191,255970,1583,6.33,4170,133.6,32.43,122744.25,2718586,2011
"80","NH","New Hampshire",1,1,1,0,292979,131919,6071.5,27.69,99.49265298,84.11645805,116.1631622,114.3742255,33745,24489,0,87,3.55,37084,1602.2,43.2,242846,27,0,15592,1605,72778,579.2,7.98,13375,392.1,29.32,64097.5,1318109,2011
"81","NJ","New Jersey",1,2,1,0,2411816,390931,42752.9,24.18,100.672159,103.7378763,115.097941,113.6278195,62752,49592,0,207.3,4.18,262246,10953.9,41.95,1794240,435,0,237,24,677923,5806.1,8.7,8544,284.5,33.3,497571,8842614,2011
