"","StateCodes","State","Region","Division","Coast","Great.Lakes","TotalC","TotalP","TotalE","TotalPrice","TotalC_Changes","TotalP_Changes","TotalE_Changes","TotalPrice_Changes","BiomassC","CoalC","CoalP","CoalE","CoalPrice","ElecC","ElecE","ElecPrice","FossFuelC","GeoC","GeoP","HydroC","HydroP","NatGasC","NatGasE","NatGasPrice","LPGC","LPGE","LPGPrice","GDP","Population","Year"
"206","AK","Alaska",4,9,1,0,603119,1475129,6890.6,24.43,97.10388065,97.44163756,94.62640245,99.30894309,5476,18225,22944,88.8,4.87,21034,1055.8,51.27,581369,186,0,14633,1539,329585,480.8,6.99,1190,32.9,27.65,58066.75,736732,2014
"207","AZ","Arizona",4,8,0,0,1422590,635050,22609.6,25.94,100.580253,106.7321687,98.98647613,99.57773512,31481,447849,173337,944.6,2.11,260328,7764.4,29.83,1256577,345,0,58185,6118,315448,2155.7,7.15,7373,223.2,30.28,281558.75,2966369,2014
"208","AR","Arkansas",3,7,0,0,1114409,1454325,13884.9,18.87,101.6390348,101.5537605,98.45980386,96.57113613,95963,339214,1864,820.9,2.42,160638,3703.5,23.19,939788,808,0,25104,2640,274767,1849.4,7.44,9145,235.6,25.8,121064.75,6731484,2014
"209","CA","California",4,9,1,0,7620082,2413494,137719.8,25.31,99.41086001,100.9651008,100.4882135,101.8511066,298473,39486,0,135.3,3.43,895939,39424.1,44.49,5702418,117226,12102,157213,16531,2417476,16127.9,7.39,51472,1424.7,28.42,2324995.5,38802500,2014
"210","CO","Colorado",4,8,0,0,1477177,3041634,19994.4,21.25,100.4305691,107.1679762,101.6455947,100.5203406,36073,350526,528242,683.5,1.95,182189,5345.7,29.52,1313834,759,0,16831,1770,499668,2686.4,7.13,16341,419,25.76,305366.75,5355866,2014
"211","CT","Connecticut",1,1,1,0,750019,197271,15483.4,27.84,99.35329268,95.24570535,100.7751736,100.5417118,36011,9097,0,38.8,4.27,100157,5004,49.96,559695,21,0,4127,434,240614,2162,9.17,10083,329.9,32.71,250763.75,3596677,2014
"212","DE","Delaware",3,5,1,0,274013,4189,3848.5,23.77,100.1085066,109.7171294,99.78997044,97.89950577,6249,10238,0,31.5,3.08,38687,1239.2,33.16,213655,430,0,0,0,106854,752.7,7.83,4872,154.3,31.67,65484.75,935614,2014
"213","FL","Florida",3,5,1,0,4121680,553738,66413.6,24.91,101.1106352,102.0583519,100.461514,99.12455233,250043,557882,0,1857.5,3.33,771379,24339.3,31.55,3350291,10056,0,2010,211,1246670,7468,6.04,16502,481.4,29.18,835578.5,19893297,2014
"214","GA","Georgia",3,5,1,0,2850990,597955,39727.8,20.95,102.4510723,102.903721,99.47243887,98.03462798,252985,482657,0,1521.1,3.15,463315,13613.7,29.38,1985059,315,0,29142,3064,666771,4963.1,7.52,19087,517.8,27.13,471879.5,10097343,2014
"215","HI","Hawaii",4,9,1,0,281206,27166,7378.6,37.38,99.95627895,106.6797565,96.51158228,96.83937824,10950,17241,0,44.7,2.59,32330,3159.3,98,250786,2422,254,895,94,2805,117,41.71,3192,106.6,33.38,76424.75,1419561,2014
"216","ID","Idaho",4,8,0,0,519935,154936,6980.2,20.43,98.7318961,111.6261645,99.8540856,101.1386139,40040,7472,0,24.4,3.26,79272,1841.5,23.23,260704,2252,79,85611,9002,94319,608.5,6.74,4962,128.6,25.92,63364,1634464,2014
"217","IL","Illinois",2,3,0,1,4042313,2683815,51550,19.02,101.2834592,106.5008911,104.9423682,102.5889968,138402,1017855,1293541,2154.5,2.12,482935,13026.9,27.6,3304158,2042,0,1258,132,1116417,9087.5,8.62,67730,1697.4,25.66,742027.75,12880580,2014
"218","IN","Indiana",2,3,0,1,2931630,1123098,34151.9,17.94,101.2735408,101.5054576,102.2059088,100.4479283,112781,1221492,886370,3513.9,2.88,364888,9583.6,26.63,2709827,4647,0,3530,371,727758,5266.2,7.49,22520,621.2,28.5,324289,6596855,2014
"219","IA","Iowa",2,4,0,0,1541900,757014,18021.8,18.24,101.5162588,103.6333992,103.3692011,101.7857143,241138,401151,0,722.7,1.8,161053,3847.3,23.89,1137920,1281,0,8356,879,342431,2578.6,7.83,68131,1705.3,25.03,170715,3107126,2014
"220","KS","Kansas",2,4,0,0,1132354,880650,14646.3,21.46,102.4606392,106.0124906,103.8450085,100.1867414,45862,316572,1474,568.5,1.8,138396,4032.6,29.97,965093,974,0,154,16,289697,1754.8,7.73,11283,310.8,27.54,146562,2904021,2014
"221","KY","Kentucky",3,6,0,0,1770741,2055121,22467,20.75,96.2935954,96.10437771,98.5165729,99.37739464,57195,913452,1869335,2177.9,2.38,268998,6378.5,23.96,1754132,2712,0,29895,3144,261233,1762.4,7.4,36157,950.1,26.58,188518,4413457,2014
"222","LA","Louisiana",3,7,1,0,4279443,2852411,45399.7,15.49,101.9735158,88.91433534,101.7066215,98.85130823,144404,209973,35541,626.6,2.98,309224,6777.8,24.4,3810396,1842,0,10366,1090,1563857,5792.4,4.9,617916,9278.9,15.03,245790.75,4649676,2014
"223","ME","Maine",1,1,1,0,410530,151257,7557.6,22.62,100.1818027,97.34650534,100.6016719,103.4766697,111979,2142,0,10.5,4.89,40953,1518.4,37.08,252829,72,0,34457,3623,62355,623.1,10.21,12801,410.8,32.09,55029,1330089,2014
"224","MD","Maryland",3,5,1,0,1400614,250058,22951.3,25.25,100.3333188,100.6050999,100.4130044,99.13623871,53814,201220,46194,595.2,2.96,210465,7464.6,35.47,878993,570,0,15364,1616,217440,2151.4,10.21,12185,432.2,35.47,350262.5,5976407,2014
"225","MA","Massachusetts",1,1,1,0,1437640,124671,27574.4,26.36,100.6445525,121.6053296,99.6123793,99.47169811,61735,29871,0,129.4,4.33,185849,8363.5,45,1011008,859,0,8579,902,433246,4599.2,10.78,11534,411.8,35.7,456273,6745408,2014
"226","MI","Michigan",2,3,0,1,2881550,682788,40740.1,20.01,101.7343796,104.2795376,100.2922105,97.70507813,150125,618479,0,1735.2,2.81,352508,11364.6,32.38,2329372,5193,0,15216,1600,878699,6993.8,8.26,46050,1273.4,27.78,447221.25,9909877,2014
"227","MN","Minnesota",2,4,0,1,1912065,466967,25312.2,19.65,102.864673,115.0258519,101.731005,98.89280322,162992,313073,0,642.6,2.05,234470,6459.9,28.04,1385193,1075,0,5216,548,489901,3646.8,7.88,39558,1042.8,26.76,320381.25,5457173,2014
"228","MS","Mississippi",3,6,1,0,1155549,402842,15948.5,20.78,101.5259436,98.18924564,100.9788589,97.42147211,71994,116537,39072,383,3.29,168582,4668.6,28.35,982217,958,0,0,0,440003,2129.2,5.47,10676,292.9,27.55,104937.5,2994079,2014
"229","MO","Missouri",2,4,0,0,1903839,199586,26719,21.94,103.0491376,104.0816859,100.1927433,97.20868409,74839,780707,8206,1578.1,2.02,286193,7644.4,26.71,1694147,352,0,6632,697,301360,2631.9,8.92,27023,721.1,26.69,283280.25,6063589,2014
"230","MT","Montana",4,8,0,0,403446,1161804,5527.5,21.72,99.38709248,105.1471041,98.33659491,98.41413684,8888,175357,790673,322.1,1.84,48117,1163.6,25.76,423897,337,0,109201,11483,79260,527.7,8.29,8298,204.2,24.6,44672.25,1023579,2014
"231","NE","Nebraska",2,4,0,0,864347,401699,10330.1,19.26,99.14339625,108.4140526,100.0678091,99.32955132,102397,276544,0,395.5,1.43,103118,2671.4,25.91,691958,1212,0,11010,1158,179544,1125,6.54,10349,280.1,27.06,110663.25,1881503,2014
"232","NV","Nevada",4,8,0,0,660256,71140,10513,23.52,100.1043107,101.327484,102.6299348,102.7972028,10681,79230,0,202.6,2.56,119678,3411.2,28.5,568174,27499,2729,22719,2389,259438,1638.7,6.44,4059,122.4,30.14,134052.25,2839099,2014
"233","NH","New Hampshire",1,1,1,0,310142,161033,6360.8,27.86,101.8401644,96.81653119,103.9584219,99.92826399,43200,14867,0,63.5,4.27,37341,1665.7,44.61,225508,29,0,13137,1381,58841,542.7,9.24,19027,616.3,32.39,70345.25,1326813,2014
"234","NJ","New Jersey",1,2,1,0,2340188,388386,39116.9,22.78,101.2329967,96.31992064,99.1616727,95.91578947,67456,30731,0,121.3,3.95,252031,10190.7,40.98,1799165,466,0,164,17,798602,6046.6,7.86,7881,273.6,34.72,545374.25,8938175,2014
"235","NM","New Mexico",4,8,0,0,679136,2514744,9019.7,23.37,101.3247157,106.2228423,100.6685417,99.44680851,17189,215348,400158,812.4,3.77,78869,2205.2,28.45,711338,451,9,936,98,256085,974.6,6.5,7187,198.1,27.56,94791.5,2085572,2014
"236","NY","New York",1,2,1,1,3742892,871720,68056.2,24.57,103.2194476,99.91060172,102.7562747,98.87323944,134792,64655,0,218.4,3.38,502833,23950.5,47.63,2747588,1185,0,248086,26087,1386580,11638.1,8.56,33225,1126.1,33.89,1385776.25,19746227,2014
"237","NC","North Carolina",3,5,1,0,2554776,595660,37283.2,23.02,100.9533918,98.22451837,99.34980494,98.4181274,145560,501592,0,1805,3.6,454249,12421.6,27.35,1761282,967,0,45230,4756,460876,3500,7.66,36489,1033.4,28.32,474355.25,9943964,2014
"238","ND","North Dakota",2,4,0,0,640095,3261360,8209.6,18.51,107.6805189,123.8094009,105.9480945,100.1081666,26745,399195,389673,866,2.17,62234,1511,24.7,723128,978,0,24073,2531,90629,363,6.47,10982,287.7,26.57,58230,739482,2014
"239","OH","Ohio",2,3,0,1,3809648,1547368,51385.5,20.01,101.8629541,134.5675469,102.6334711,99.95004995,129920,1057377,541830,2567.7,2.43,514119,14538.3,28.62,3208044,3435,0,4546,478,1044986,7437.8,7.41,27457,843.4,31.78,588827.75,11594163,2014
"240","OK","Oklahoma",3,7,0,0,1679856,3572829,20496.9,19.97,103.6412668,113.8770967,104.6769589,100.5032713,42870,336080,20607,680,2.02,210088,4944.3,24.15,1543910,24,0,13585,1428,665799,3454.2,6.93,10596,285.6,26.95,190170.5,3878051,2014
"241","OR","Oregon",4,9,1,0,987145,479935,14866.2,22.29,99.52392811,104.5956395,99.89047539,100.4054054,72449,34238,0,87.3,2.55,161507,4110,25.45,588438,2977,183,335341,35262,225576,1498.4,6.76,6029,159.4,26.44,203328,3970239,2014
"242","PA","Pennsylvania",1,2,0,1,3902434,7087392,55665.8,21.44,101.9721925,120.6622967,102.1023632,98.93862483,148961,1039161,1566449,3006.4,2.89,500498,14984.4,30.2,3486721,2162,0,25117,2641,1257090,8819.3,8.19,48546,1516,31.23,672413.25,12787209,2014
"243","RI","Rhode Island",1,1,1,0,204459,4304,4203.7,26.34,102.6580976,163.8370765,104.8827345,100.4959939,7068,0,0,0,0,26078,1178,45.17,178774,57,0,38,4,91259,854.7,9.67,1970,75.7,38.4,55098.25,1055173,2014
"244","SC","South Carolina",3,5,1,0,1632085,675110,21875.7,21.74,102.6174254,97.75079491,100.6431756,98.8631196,122321,305656,0,1115.3,3.65,278487,7889.8,28.33,1021676,648,0,24432,2569,235860,1596,6.84,9741,274.8,28.21,189655.5,4832482,2014
"245","SD","South Dakota",2,4,0,0,391857,249789,4819.4,20.32,100.5744073,105.539148,101.008111,99.95081161,62730,33062,0,71.7,2.17,42154,1118.2,26.53,230463,1868,0,52288,5498,83464,549.3,7.11,6694,176.1,26.3,45600,853175,2014
"246","TN","Tennessee",3,6,0,0,2194512,499501,29614.6,21.47,102.9075624,91.66568792,102.0032377,98.80349747,101449,427509,21711,1127.7,2.64,341948,9379,27.59,1411675,213,0,84645,8901,311966,2232.9,7.48,10383,347.7,33.49,300015.25,6549352,2014
"247","TX","Texas",3,7,1,0,12899498,17597105,162555.8,19.05,101.8839148,112.1626138,102.7443227,99.8427673,214603,1585961,576803,3213.9,2.03,1329553,33991.3,26.49,11752655,2478,0,3670,386,4219128,16884,5.22,1598099,24824.5,15.54,1601976.75,26956958,2014
"248","UT","Utah",4,8,0,0,797995,1170681,10755.3,20.71,95.95114878,104.258114,97.17210412,100.9259259,10562,344054,410997,726.3,2.11,102507,2487,24.57,875384,5769,522,6018,633,252691,1348.3,6.81,4575,117,25.58,140565,2942902,2014
"249","VT","Vermont",1,1,0,0,139897,85874,3274.9,27.6,101.723298,102.0026607,98.48434728,97.56097561,20279,0,0,0,0,19004,811.5,42.7,90377,29,0,11177,1175,10848,112.8,10.52,10103,327.3,32.39,29661.75,626562,2014
"250","VA","Virginia",3,5,1,0,2430205,979780,33979.6,21.66,100.651404,95.77432848,98.92024861,98.27586207,150362,278183,393225,961.6,3.46,382480,10284.3,26.89,1500290,1701,0,9084,955,437322,3280,7.77,21423,541.8,25.29,462243,8326289,2014
"251","WA","Washington",4,9,1,0,2011941,1027404,25804.2,21.11,98.80332504,102.39941,97.01884792,98.14039981,121119,76547,0,200.3,2.62,314384,6494.1,21.04,1092335,1136,0,755695,79463,319784,2157.9,7.83,14874,393.4,27.24,422766.5,7061530,2014
"252","WV","West Virginia",3,5,0,0,752942,4154063,8756.3,19.97,101.2546866,109.0376796,97.94190352,97.50976563,30091,816460,2858022,2030.8,2.49,111559,2499.5,22.44,1163308,32,0,11811,1242,161661,678.4,7.38,4009,134.7,33.6,74432.75,1850326,2014
"253","WI","Wisconsin",2,3,0,1,1868867,298603,26448.1,20.74,103.0554333,96.1953913,106.0915783,101.5173764,136809,417096,0,1018.7,2.44,237116,7335.7,30.99,1437711,615,0,23507,2472,477923,3981.2,8.42,36344,928,25.58,293341.25,5757564,2014
"254","WY","Wyoming",4,8,0,0,535612,9361755,5841.2,18.7,99.34451892,101.3849666,105.58739,101.5752309,4566,489300,6880205,797.9,1.63,58461,1294.7,22.87,803967,663,0,8261,869,141763,456.1,6.66,5442,135,24.8,40875.5,584153,2014
"255","DC","District of Columbia",3,5,0,0,178929,360,2320.3,24.96,101.9190021,111.4551084,104.0913373,101.3398295,920,48,0,0.1,3,38193,1355.9,35.5,55217,22,0,0,0,35316,411.3,12.11,24,0.8,32.28,116539.25,658893,2014
